"","municipio","codEstacao","Dia","PrecD"
"1","ACARAÚ","230020001A","01",0
"2","ACARAÚ","230020001A","02",0
"3","ACARAÚ","230020001A","03",0
"4","ACARAÚ","230020001A","04",0
"5","ACARAÚ","230020001A","05",0
"6","ACARAÚ","230020001A","06",0
"7","ACARAÚ","230020001A","07",0
"8","ACARAÚ","230020001A","08",0
"9","ACARAÚ","230020001A","09",0
"10","ACARAÚ","230020001A","10",0
"11","ACARAÚ","230020001A","11",0
"12","ACARAÚ","230020001A","12",0
"13","ACARAÚ","230020001A","13",0
"14","ACARAÚ","230020001A","14",0
"15","ACARAÚ","230020001A","15",0
"16","ACARAÚ","230020001A","16",0
"17","ACARAÚ","230020001A","17",0
"18","ACARAÚ","230020001A","18",0
"19","ACARAÚ","230020001A","19",0
"20","ACARAÚ","230020001A","20",0
"21","ACARAÚ","230020001A","21",0
"22","ACARAÚ","230020001A","22",0
"23","ACARAÚ","230020001A","23",0
"24","ACARAÚ","230020001A","24",0
"25","ACARAÚ","230020001A","25",0
"26","ACARAÚ","230020001A","26",0
"27","ACARAÚ","230020001A","27",0
"28","ACARAÚ","230020001A","28",0
"29","ACARAÚ","230020001A","29",0
"30","ACARAÚ","230020001A","30",0
"31","ACARAÚ","230020001A","31",0
"32","ALTO SANTO","230070501C","27",0.6
"33","ALTO SANTO","230070501C","28",0
"34","ALTO SANTO","230070501C","29",0
"35","ALTO SANTO","230070501C","30",0
"36","ALTO SANTO","230070501C","31",0.8
"37","AMONTADA","230075401A","01",0
"38","AMONTADA","230075401A","02",2.98
"39","AMONTADA","230075401A","03",0
"40","AMONTADA","230075401A","04",0
"41","AMONTADA","230075401A","05",0.6
"42","AMONTADA","230075401A","06",0
"43","AMONTADA","230075401A","07",17.21
"44","AMONTADA","230075401A","08",2.77
"45","AMONTADA","230075401A","09",2.6
"46","AMONTADA","230075401A","10",0
"47","AMONTADA","230075401A","11",0
"48","AMONTADA","230075401A","12",0
"49","AMONTADA","230075401A","13",0
"50","AMONTADA","230075401A","14",0
"51","AMONTADA","230075401A","15",7.13
"52","AMONTADA","230075401A","16",1.4
"53","AMONTADA","230075401A","17",0
"54","AMONTADA","230075401A","18",0
"55","AMONTADA","230075401A","19",0
"56","AMONTADA","230075401A","20",0
"57","AMONTADA","230075401A","21",0
"58","AMONTADA","230075401A","22",0
"59","AMONTADA","230075401A","23",0
"60","AMONTADA","230075401A","24",0
"61","AMONTADA","230075401A","25",0
"62","AMONTADA","230075401A","26",0
"63","AMONTADA","230075401A","27",0
"64","AMONTADA","230075401A","28",0
"65","AMONTADA","230075401A","29",0
"66","AMONTADA","230075401A","30",2.59
"67","AMONTADA","230075401A","31",0.2
"68","AMONTADA","230075402A","01",0
"69","AMONTADA","230075402A","02",0
"70","AMONTADA","230075402A","03",0
"71","AMONTADA","230075402A","04",0
"72","AMONTADA","230075402A","05",0
"73","AMONTADA","230075402A","06",0
"74","AMONTADA","230075402A","07",0
"75","AMONTADA","230075402A","08",0
"76","AMONTADA","230075402A","09",0
"77","AMONTADA","230075402A","10",0
"78","AMONTADA","230075402A","11",0
"79","AMONTADA","230075402A","12",0
"80","AMONTADA","230075402A","13",0
"81","AMONTADA","230075402A","14",0
"82","AMONTADA","230075402A","15",0
"83","AMONTADA","230075402A","16",0
"84","AMONTADA","230075402A","17",0
"85","AMONTADA","230075402A","18",0
"86","AMONTADA","230075402A","19",0
"87","AMONTADA","230075402A","20",0
"88","AMONTADA","230075402A","21",0
"89","AMONTADA","230075402A","22",0
"90","AMONTADA","230075402A","23",0
"91","AMONTADA","230075402A","24",0
"92","AMONTADA","230075402A","25",0
"93","AMONTADA","230075402A","26",0
"94","AMONTADA","230075402A","27",0
"95","AMONTADA","230075402A","28",0
"96","AMONTADA","230075402A","29",0
"97","AMONTADA","230075402A","30",0
"98","AMONTADA","230075402A","31",0
"99","AMONTADA","230075403A","01",0
